22:45:46 [allowed] §f §r§r§r§f §r§r§r§1 §r§r§r§0 §r§r§r§2 §r§r§r§f §r§r§r§f §r§r§r§2 §r§r§r§0 §r§r§r§4 §r§r§r§3 §r§r§r§9 §r§r§r§2 §r§r§r§0 §r§r§r§0 §r§r§r§3 §r§r§r§9 §r§r§r§2 §r§r§r§0 §r§r§r§0 §r§r§r§3 §r§r§r§9 §r§r§r§2 §r§r§r§0 §r§r§r§0 
22:45:46 [allowed] §aYou have §b2 §aunclaimed leveling rewards!
22:45:46 [allowed] §eClick here to view them!
22:45:46 [allowed]   §r§f§l➤ §r§6You have reached your Hype limit! Add Hype to Prototype Lobby minigames by right-clicking with the Hype Diamond!
22:45:54 [allowed] §b[MVP§d+§b] 7synx§f §6joined the lobby!
22:45:57 [allowed] §b[MVP§c+§b] ArlosThee§f §6joined the lobby!
22:46:05 [allowed] §b[MVP§9+§b] SC0R9I0N§f §6joined the lobby!
22:46:07 [allowed] §b[MVP§9+§b] Pizzalord1246§f §6joined the lobby!
22:46:11 [allowed] §b[MVP§a+§b] ImTheLion650§f §6joined the lobby!
22:46:12 [allowed] §b[MVP§f+§b] transfurrynut§f §6joined the lobby!
22:46:12 [allowed] §b[MVP§9+§b] Snowicide§f §6joined the lobby!
22:46:17 [allowed] §b[MVP§f+§b] Spydogpro§f §6joined the lobby!
22:46:20 [allowed] §b[MVP§a+§b] Cubelee§f §6joined the lobby!
22:46:22 [allowed] §b[MVP§a+§b] Narwhal_King_Eli§f §6joined the lobby!
22:46:23 [allowed] §b[MVP§c+§b] Tecknik§f §6joined the lobby!
22:46:23 [allowed] §b[MVP§f+§b] _mm7_§f §6joined the lobby!
22:46:30 [allowed] §b[MVP§1+§b] L3tz_§f §6joined the lobby!
22:46:32 [allowed] §b[MVP§c+§b] q1ayF7§f §6joined the lobby!
22:46:32 [allowed] §b[MVP§3+§b] rheinkind§f §6joined the lobby!
22:46:34 [allowed] §b[MVP§6+§b] Guandonien§f §6joined the lobby!
22:46:35 [allowed] §b[MVP§f+§b] Shiaku§f §6joined the lobby!
22:46:37 [allowed] §b[MVP§6+§b] Pegase15§f §6joined the lobby!
22:46:37 [allowed] §b[MVP§d+§b] oGianni§f §6joined the lobby!
22:46:40 [allowed]  §b>§c>§a>§r §r§6[MVP§d++§6] rotw§f §6joined the lobby!§r §a<§c<§b<
22:46:41 [allowed] §b[MVP§d+§b] DogeCube§f §6joined the lobby!
22:46:43 [allowed] §b[MVP§c+§b] f10lla§f §6joined the lobby!
22:46:44 [allowed] §b[MVP§c+§b] Phobosz§f §6joined the lobby!
22:46:44 [allowed] §b[MVP§6+§b] herobrinejrsword§f §6joined the lobby!
22:46:44 [allowed] §b[MVP§f+§b] Luna_dayo§f §6joined the lobby!
22:46:45 [allowed] §b[MVP§3+§b] Skelarex_aether§f §6joined the lobby!
22:46:46 [allowed] §b[MVP§c+§b] Wayzen§f §6joined the lobby!
22:46:47 [allowed] §b[MVP§9+§b] Spedoof§f §6joined the lobby!
22:46:47 [allowed] §b[MVP§6+§b] KKMH§f §6joined the lobby!
22:46:47 [allowed] §b[MVP§6+§b] TotallyLukas§f §6joined the lobby!
22:46:47 [allowed] §b[MVP§c+§b] Perenvandealdi§f §6joined the lobby!
22:46:48 [allowed]  §b>§c>§a>§r §r§6[MVP§c++§6] JanThomasGaming§f §6joined the lobby!§r §a<§c<§b<
22:46:49 [allowed]  §b>§c>§a>§r §r§6[MVP§3++§6] ae_Bacteria§f §6joined the lobby!§r §a<§c<§b<
22:46:52 [allowed] §b[MVP§a+§b] Kristinauglylera§f §6joined the lobby!
22:46:55 [allowed] §b[MVP§3+§b] Captainmine9§f §6joined the lobby!
22:46:58 [allowed] §b[MVP§2+§b] wpsm§f §6joined the lobby!
22:47:05 [allowed] §b[MVP§c+§b] Bl00D8ORN57§f §6joined the lobby!
22:47:07 [allowed] §b[MVP§6+§b] WhoIsCyan§f §6joined the lobby!
22:47:08 [allowed] §b[MVP§c+§b] bz9918§f §6joined the lobby!
22:47:16 [allowed] §b[MVP§4+§b] SurprisePikachu§f §6joined the lobby!
22:47:17 [allowed] §b[MVP§c+§b] Boppadoo§f §6joined the lobby!
